=== probe6 env: DYLD_FLP=/opt/homebrew/opt/vulkan-loader/lib VK_ICD=/opt/homebrew/opt/molten-vk/etc/vulkan/icd.d/MoltenVK_icd.json dur=30s doSwap=1 ===
VIEW: frame=(0,0,688,702) bounds=(0,0,688,702) wantsLayer=1
LAYER: class=CAMetalLayer frame=(0,0,688,702) superlayer=nil contentsScale=2.00 drawableSize=(0,0) opaque=1 maxDrawables=3
[swap] device exposes 130 exts; swapchain_enabled=1
[swap] vkCreateSwapchain rc=0 fmt=44 caps.curExtent=(1376,1404) minImg=2
[swap] acquired+presented img 0 via MoltenVK
after swapchain: drawableSize=(1376,1404)
[t=1.0s] METAL presented=20
[t=1.4s] METAL presented=40
[t=1.7s] METAL presented=60
[t=2.1s] METAL presented=80
[t=2.4s] METAL presented=100
[t=2.8s] METAL presented=120
[t=3.1s] METAL presented=140
[t=3.5s] METAL presented=160
[t=3.8s] METAL presented=180
[t=4.2s] METAL presented=200
[t=4.5s] METAL presented=220
[t=4.8s] METAL presented=240
[t=5.2s] METAL presented=260
[t=5.5s] METAL presented=280
[t=5.9s] METAL presented=300
[t=6.2s] METAL presented=320
[t=6.6s] METAL presented=340
[t=6.9s] METAL presented=360
[t=7.2s] METAL presented=380
[t=7.6s] METAL presented=400
[t=7.9s] METAL presented=420
[t=8.3s] METAL presented=440
[t=8.6s] METAL presented=460
[t=8.9s] METAL presented=480
[t=9.3s] METAL presented=500
[t=9.6s] METAL presented=520
[t=10.0s] METAL presented=540
[t=10.3s] METAL presented=560
[t=10.7s] METAL presented=580
[t=11.0s] METAL presented=600
[t=11.3s] METAL presented=620
[t=11.7s] METAL presented=640
[t=12.1s] METAL presented=660
[t=12.4s] METAL presented=680
[t=12.7s] METAL presented=700
[t=13.1s] METAL presented=720
[t=13.4s] METAL presented=740
[t=13.8s] METAL presented=760
[t=14.1s] METAL presented=780
[t=14.5s] METAL presented=800
[t=14.8s] METAL presented=820
[t=15.2s] METAL presented=840
[t=15.5s] METAL presented=860
[t=15.8s] METAL presented=880
[t=16.2s] METAL presented=900
[t=16.5s] METAL presented=920
[t=16.9s] METAL presented=940
[t=17.2s] METAL presented=960
[t=17.5s] METAL presented=980
[t=17.9s] METAL presented=1000
[t=18.2s] METAL presented=1020
[t=18.6s] METAL presented=1040
[t=18.9s] METAL presented=1060
[t=19.3s] METAL presented=1080
[t=19.6s] METAL presented=1100
[t=19.9s] METAL presented=1120
[t=20.3s] METAL presented=1140
[t=20.6s] METAL presented=1160
[t=21.0s] METAL presented=1180
[t=21.3s] METAL presented=1200
[t=21.7s] METAL presented=1220
[t=22.0s] METAL presented=1240
[t=22.3s] METAL presented=1260
[t=22.7s] METAL presented=1280
[t=23.0s] METAL presented=1300
[t=23.4s] METAL presented=1320
[t=23.7s] METAL presented=1340
[t=24.1s] METAL presented=1360
[t=24.4s] METAL presented=1380
[t=24.8s] METAL presented=1400
[t=25.1s] METAL presented=1420
[t=25.5s] METAL presented=1440
[t=25.8s] METAL presented=1460
[t=26.1s] METAL presented=1480
[t=26.5s] METAL presented=1500
[t=26.8s] METAL presented=1520
[t=27.2s] METAL presented=1540
[t=27.5s] METAL presented=1560
[t=27.9s] METAL presented=1580
[t=28.2s] METAL presented=1600
[t=28.6s] METAL presented=1620
[t=28.9s] METAL presented=1640
[t=29.3s] METAL presented=1660
[t=29.6s] METAL presented=1680
[t=29.9s] METAL presented=1700
=== probe6 RESULT: presented=1703 nil=0 (swap=1) ===
>>> METAL nextDrawable FLOWS (swapchain=1)
