t_sec,rss_kb
15,126852
30,132352
45,134176
60,134176
75,134212
90,134212
105,133564
120,133564
135,133788
150,133788
165,133816
180,134572
195,134572
210,134572
225,134572
240,134572
255,134572
270,133508
285,133716
300,133716
315,133716
330,133716
345,133716
360,133520
375,133532
390,133672
405,134708
420,134708
435,134708
450,134708
465,134708
480,134708
495,134708
510,134708
525,134708
540,134708
555,134708
570,134708
585,133916
600,133916
615,133916
630,134224
645,134224
660,134224
675,134224
690,134224
705,134224
720,134224
735,134228
750,134240
765,133668
780,133644
795,133668
810,133668
825,133668
840,133668
855,133668
870,133668
885,133672
900,133672
